WID	WORD	LABEL	FACTOR	VALUE
94	【医】	19-医	KUNYOMIWRITE	-0.967068627474932
95	【医】	19-医	KUNYOMIREAD	-0.694098678636491
96	【依】	20-依	KNOW	0.821200725212557
97	【依】	20-依	ONYOMIWRITE	-0.259076608957368
98	【依】	20-依	ONYOMIREAD	-0.181597411764159
99	【依】	20-依	KUNYOMIWRITE	-0.970304104453148
100	【依】	20-依	KUNYOMIREAD	-0.65523501864458
101	【委】	21-委	KNOW	0.853960467788855
102	【委】	21-委	ONYOMIWRITE	0.0309234355711023
103	【委】	21-委	ONYOMIREAD	0.128925878089253
104	【委】	21-委	KUNYOMIWRITE	-0.634377608059891
105	【委】	21-委	KUNYOMIREAD	-0.480764830948875
106	【威】	22-威	KNOW	0.814002358440269
107	【威】	22-威	ONYOMIWRITE	-0.615777661653266
108	【威】	22-威	ONYOMIREAD	-0.339615625672769
109	【威】	22-威	KUNYOMIWRITE	-1.14570734305429
110	【威】	22-威	KUNYOMIREAD	-0.966435705146606
111	【為】	23-為	KNOW	0.899118727858024
112	【為】	23-為	ONYOMIWRITE	-0.183761931196199
113	【為】	23-為	ONYOMIREAD	0.071336939092959
114	【為】	23-為	KUNYOMIWRITE	-0.373698651033107
115	【為】	23-為	KUNYOMIREAD	-0.0870516501755751
116	【畏】	24-畏	KNOW	-0.103136931659898
117	【畏】	24-畏	ONYOMIWRITE	-1.04655148300536
118	【畏】	24-畏	ONYOMIREAD	-0.847365986936975
119	【畏】	24-畏	KUNYOMIWRITE	-1.20278133687264
120	【畏】	24-畏	KUNYOMIREAD	-0.970991072996772
121	【胃】	25-胃	KNOW	0.927393285803854
122	【胃】	25-胃	ONYOMIWRITE	-0.13094006693835
123	【胃】	25-胃	ONYOMIREAD	-0.2137188332964
124	【胃】	25-胃	KUNYOMIWRITE	-0.136083012123465
125	【胃】	25-胃	KUNYOMIREAD	-0.0551463201531177
126	【尉】	26-尉	KNOW	0.0231545921787375
127	【尉】	26-尉	ONYOMIWRITE	-1.40533055348483
128	【尉】	26-尉	ONYOMIREAD	-1.17439549311113
129	【尉】	26-尉	KUNYOMIWRITE	-1.40615189890066
130	【尉】	26-尉	KUNYOMIREAD	-1.19004645903051
131	【異】	27-異	KNOW	0.883265480524001
132	【異】	27-異	ONYOMIWRITE	0.259362069241306
133	【異】	27-異	ONYOMIREAD	0.475850239409361
134	【異】	27-異	KUNYOMIWRITE	0.199359054226862
135	【異】	27-異	KUNYOMIREAD	0.33946431617543
136	【移】	28-移	KNOW	0.848238881563562
137	【移】	28-移	ONYOMIWRITE	0.276237044958198
138	【移】	28-移	ONYOMIREAD	0.490600807933387
139	【移】	28-移	KUNYOMIWRITE	0.33554680544351
140	【移】	28-移	KUNYOMIREAD	0.513314747744373
141	【萎】	29-萎	KNOW	0.198636499880316
142	【萎】	29-萎	ONYOMIWRITE	-1.07351979185012
143	【萎】	29-萎	ONYOMIREAD	-0.683124607076683
144	【萎】	29-萎	KUNYOMIWRITE	-1.31115375831685
145	【萎】	29-萎	KUNYOMIREAD	-1.05465473919461
146	【偉】	30-偉	KNOW	0.691393717076998
147	【偉】	30-偉	ONYOMIWRITE	-0.485702640496264
148	【偉】	30-偉	ONYOMIREAD	-0.232054774741187
149	【偉】	30-偉	KUNYOMIWRITE	-0.471623989254142
150	【偉】	30-偉	KUNYOMIREAD	-0.387832629729363
151	【椅】	31-椅	KNOW	0.0612286090212443
152	【椅】	31-椅	ONYOMIWRITE	-0.682618131192708
153	【椅】	31-椅	ONYOMIREAD	-0.544148506527194
154	【椅】	31-椅	KUNYOMIWRITE	-1.2301609579977
155	【椅】	31-椅	KUNYOMIREAD	-1.13120274209699
156	【彙】	32-彙	KNOW	-0.683557452682573
157	【彙】	32-彙	ONYOMIWRITE	-1.68106816041541
158	【彙】	32-彙	ONYOMIREAD	-1.39074488133361
159	【彙】	32-彙	KUNYOMIWRITE	-1.88036026609936
160	【彙】	32-彙	KUNYOMIREAD	-1.82027128050877
161	【意】	33-意	KNOW	0.888009572900625
162	【意】	33-意	ONYOMIWRITE	0.530175043587447
